No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference
24,Steroid,C[C@@]12C([C@H](CCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.869666232,Inactive,404.69,5,5,0,1,7.544,17.07,0.184608186,-1204.394614,4.4995,-0.22757,-0.04153,0.18604,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-14
25,Steroid,C[C@@]12C([C@H](CCCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.346787486,Inactive,418.72,6,5,0,1,8,17.07,0.184413507,-1243.704504,4.6418,-0.22755,-0.0415,0.18605,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-15
26,Steroid,CC12C(CCC2=O)C3[C@H](C(F)4F)[C@H]4C5=CC(CCC5(C)C3CC1)=O,5.93930216,Inactive,334.44,0,5,0,4,2.611,34.14,0.228266708,-1126.65157,5.4097,-0.23815,-0.05657,0.18158,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-6
27,Steroid,CC12C(CCC2=O)C3[C@H](C4)[C@H]4C5=CCCCC5(C)C3CC1,6.823908741,Active,284.48,0,5,0,1,4.111,17.07,0.19124051,-854.1686113,3.0077,-0.22279,-0.01167,0.21112,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-7
28,Steroid,CC12C(CCC2O)C3[C@H](C4)[C@H]4C5=CCCCC5(C)C3CC1,5.568636236,Inactive,286.5,0,5,1,1,4.15,20.23,0.185290627,-855.3610891,1.5374,-0.21969,0.02437,0.24406,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-8
29,Steroid,O=C1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4=O,5.958607315,Inactive,286.45,0,4,0,2,3.294,34.14,0.206982404,-890.1134876,4.399,-0.23176,-0.03316,0.1986,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-8
30,Steroid,O=C1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4O,5,Inactive,288.47,0,4,1,2,3.333,37.3,0.20257049,-891.3042535,3.6828,-0.23064,-0.03654,0.1941,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-9
31,Steroid,OC1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4=O,6.552841969,Active,288.47,0,4,1,2,3.333,37.3,0.202784735,-891.310661,1.6404,-0.23145,-0.01402,0.21743,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-10
32,Steroid,CC12C(C(OC(C)=O)CCC2)=CCC3C1CCC4(C)C3CCC4=O,6,Inactive,330.51,2,4,0,3,3.712,43.37,0.213627759,-1043.995215,2.1348,-0.23034,-0.01284,0.2175,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-11
33,Steroid,O=C1C=C2[C@@H](OC(C)=O)CCCC2(C)C3C1C(CCC4=O)C4(C)CC3,4.022276395,Inactive,344.49,2,4,0,4,2.782,60.44,0.231256642,-1118.009509,2.7929,-0.23212,-0.05124,0.18088,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-12
34,Steroid,O[C@H]1CCCC2(C)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,5.200659451,Inactive,302.45,0,4,1,3,2.403,54.37,0.220046271,-965.3450502,4.8826,-0.22817,-0.05074,0.17743,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-13
35,Steroid,O=C1CCCC2(C)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,5.443697499,Inactive,300.43,0,4,0,3,2.363,51.21,0.223815391,-964.143136,4.3743,-0.23278,-0.07762,0.15516,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-14
36,Steroid,O=C1CCCC2(C1=CC(C3C2CCC4(C3CC[C@@H]4O)C)=O)C,4.244125144,Inactive,302.45,0,4,1,3,2.403,54.37,0.220073958,-965.3173827,5.036,-0.23662,-0.07824,0.15838,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-15
37,Steroid,O=C1CCCC2(CO)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,4.318758763,Inactive,316.43,1,4,1,4,1.272,71.44,0.228522085,-1039.345172,5.6466,-0.22962,-0.07411,0.15551,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-16
38,Steroid,O=C1CCCC2(C=O)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,4.292429824,Inactive,314.41,1,4,0,4,1.529,68.28,0.230267333,-1038.140159,4.7368,-0.23893,-0.09129,0.14764,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-17
39,Steroid,CC12C(C(C)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.443697499,Inactive,298.46,0,4,0,2,3.296,34.14,0.213611875,-928.2343375,2.7604,-0.23198,-0.06448,0.1675,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-602
40,Steroid,CC12C(C(CC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.408935393,Inactive,312.49,1,4,0,2,3.752,34.14,0.211005784,-967.5455623,2.7489,-0.23117,-0.06515,0.16602,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-603
41,Steroid,CC12C(C(CCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.501689446,Inactive,326.52,2,4,0,2,4.208,34.14,0.209228037,-1006.859104,2.8604,-0.23123,-0.06302,0.16821,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-604
42,Steroid,CC12C(C(CCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.576754126,Inactive,340.55,3,4,0,2,4.664,34.14,0.20739207,-1046.171336,2.8899,-0.23108,-0.06278,0.1683,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-605
43,Steroid,CC12C(C(CCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.657577319,Inactive,354.58,4,4,0,2,5.12,34.14,0.205965667,-1085.481251,2.8842,-0.23088,-0.06259,0.16829,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-606
44,Steroid,CC12C(C(CCCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.698970004,Inactive,368.61,5,4,0,2,5.577,34.14,0.20474073,-1124.79079,2.8449,-0.23103,-0.06272,0.16831,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-607
45,Steroid,CC12C(C(CCCCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,3.366531544,Inactive,382.64,6,4,0,2,6.033,34.14,0.20257097,-1164.108691,2.8889,-0.23117,-0.06262,0.16855,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-608
46,Steroid,CC12C(C(C)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,3.13076828,Inactive,296.44,0,4,0,2,3.272,34.14,0.208818152,-927.0087622,3.5819,-0.23383,-0.06672,0.16711,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-609
47,Steroid,CC12C(C(CC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,4.37675071,Inactive,310.47,1,4,0,2,3.729,34.14,0.206468245,-966.3208649,3.6395,-0.234,-0.06642,0.16758,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-610
48,Steroid,CC12C(C(CCC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,4,Inactive,324.5,2,4,0,2,4.185,34.14,0.204699519,-1005.633869,3.7096,-0.23301,-0.06516,0.16785,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-611
49,Steroid,CC12C(C(CCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,3.602059991,Inactive,338.53,3,4,0,2,4.641,34.14,0.203059109,-1044.946211,3.7241,-0.23283,-0.06493,0.1679,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-612
50,Steroid,CC12C(C(CCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,3.853871964,Inactive,352.56,4,4,0,2,5.097,34.14,0.201621328,-1084.255819,3.7383,-0.2328,-0.06483,0.16797,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-613
51,Steroid,CC12C(C(CCCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,3.809668302,Inactive,366.59,5,4,0,2,5.553,34.14,0.200771033,-1123.565612,3.6753,-0.23281,-0.0649,0.16791,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-614
52,Steroid,CC12C(C(CCCCCCC)=CC3C2CCC4(C)C3CCC4=O)=CC(C=C1)=O,3.638272164,Inactive,380.62,6,4,0,2,6.01,34.14,0.197689281,-1162.889755,3.6375,-0.23319,-0.06599,0.1672,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-615
53,Steroid,C[C@@]12C(CCC2=O)C3C[C@@H]4C5=CC(CC[C@]5(CO4)C3CC1)=O,4.356547324,Inactive,300.43,0,5,0,3,1.868,43.37,0.20823563,-964.1026761,1.9339,-0.23681,-0.05416,0.18265,"6beta,19-Bridged androstenedione analogs as aromatase inhibitors",Steroids. 2009;74(12):884-9
57,Non-Steroid,O=C1C=COC2=C(CN3C=NC=C3)C=CC(C#N)=C21,6.619788758,Active,251.26,2,3,0,4,0.944,71.82,0.217811071,-853.5712841,6.7331,-0.23983,-0.08895,0.15088,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-80
58,Non-Steroid,O=C1C=COC2=C(CN3C=NC=C3)C=CC([N+]([O-])=O)=C21,5.958607315,Inactive,271.25,3,3,0,5,0.959,93.85,0.227277276,-965.8188732,6.3324,-0.23983,-0.0879,0.15193,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-81
59,Non-Steroid,BrC1=C2C(OC=CC2=O)=C(CN3C=NC=C3)C=C1,5.677780705,Inactive,305.14,2,3,0,3,1.813,48.03,0.196813296,-3332.432014,3.9472,-0.23339,-0.06911,0.16428,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-82
60,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C(CN4C=NC=C4)C=CC(C#N)=C31,7.366531544,Active,301.32,2,4,0,4,2.52,71.82,0.207112235,-1007.229108,7.0319,-0.23748,-0.0929,0.14458,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-83
61,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C(CN4C=NC=C4)C=CC([N+]([O-])=O)=C31,7.397940009,Active,321.31,3,4,0,5,2.535,93.85,0.215336343,-1119.476756,6.6374,-0.23741,-0.09182,0.14559,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-84
62,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C(CN4C=NC=C4)C=CC(Br)=C31,7.050609993,Active,355.2,2,4,0,3,3.389,48.03,0.189524424,-3486.089492,4.4184,-0.23125,-0.07737,0.15388,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-85
63,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C(C#N)C=CC(CN4C=NC=C4)=C31,5.638272164,Inactive,301.32,2,4,0,4,2.52,71.82,0.209511294,-1007.230107,4.5532,-0.21942,-0.09823,0.12119,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-86
64,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C([N+]([O-])=O)C=CC(CN4C=NC=C4)=C31,6.013228266,Active,321.31,3,4,0,5,2.535,93.85,0.218942886,-1119.478281,4.7357,-0.22023,-0.10633,0.1139,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-87
65,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=C(Br)C=CC(CN4C=NC=C4)=C31,6.026872146,Active,355.2,2,4,0,3,3.389,48.03,0.192697697,-3486.091966,4.9816,-0.21297,-0.08365,0.12932,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-88
66,Non-Steroid,O=C1C=COC2=CC(CN3C=NC=C3)=CC=C21,7,Active,226.25,2,3,0,3,1.065,48.03,0.213454222,-761.3376919,5.4168,-0.22878,-0.0635,0.16528,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-89
67,Non-Steroid,O=C1C=COC2=CC(CN3C=NN=C3)=CC=C21,5.431798276,Inactive,227.24,2,3,0,4,0.541,60.92,0.232724115,-777.3607627,7.1874,-0.25387,-0.06945,0.18442,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-90
68,Non-Steroid,O=C1C2=C(C=CC=C2)OC3=CC(CN4C=NC=C4)=CC=C31,6.408935393,Active,276.31,2,4,0,3,2.641,48.03,0.203960909,-914.9951135,5.5119,-0.22736,-0.07261,0.15475,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-91
70,Non-Steroid,O=C1C(CN2C=NC=C2)=C(C3=CC=CC=C3)OC4=CC(OC)=CC=C41,6.259637311,Active,332.38,4,4,0,4,2.757,57.26,0.205101098,-1106.921141,6.64,-0.20649,-0.06416,0.14233,"A new class of nonsteroidal aromatase inhibitors: design and synthesis of chromone and xanthone derivatives and inhibition of the P450 enzymes aromatase and 17 alpha-hydroxylase/C17,20-lyase",J Med Chem. 2001 Mar 1;44(5):672-92
72,Steroid,O=C1CCC2C3[C@H](OC(C)=O)C(C4=CC(CCC4(C)C3CCC21C)=O)=O,5.27572413,Inactive,358.47,2,4,0,5,1.918,77.51,0.240634885,-1192.015295,3.492,-0.24394,-0.09682,0.14712,"A- or B-ring-substituted derivatives of androst-4-ene-3,6,17-trione as aromatase inhibitors. Structure-activity relationships",Steroids. 1994;59(10):579-85
73,Steroid,O=C1CCC2C3[C@H](O)C(C4=CC(CCC4(C)C3CCC21C)=O)=O,4.958607315,Inactive,316.43,0,4,1,4,1.539,71.44,0.231804255,-1039.352247,3.5669,-0.23888,-0.10375,0.13513,"A- or B-ring-substituted derivatives of androst-4-ene-3,6,17-trione as aromatase inhibitors. Structure-activity relationships",Steroids. 1994;59(10):579-86
74,Steroid,O=C1CCC2C3CC(C4=CC(C(C)(C)CC4(C)C3CCC21C)=O)=O,6.522878745,Active,328.49,0,4,0,3,3.032,51.21,0.219250615,-1042.764415,4.3997,-0.23954,-0.08785,0.15169,"A- or B-ring-substituted derivatives of androst-4-ene-3,6,17-trione as aromatase inhibitors. Structure-activity relationships",Steroids. 1994;59(10):579-87
75,Steroid,O=C1CCC2C3CC(C4=C(OC)C(C(C)(C)CC4(C)C3CCC21C)=O)=O,5.721246399,Inactive,358.52,1,4,0,4,2.533,60.44,0.220366411,-1157.27566,4.0065,-0.23589,-0.06683,0.16906,"A- or B-ring-substituted derivatives of androst-4-ene-3,6,17-trione as aromatase inhibitors. Structure-activity relationships",Steroids. 1994;59(10):579-88
76,Steroid,O=C1CCC2C3CC(C4=C(O)C(C(C)(C)CC4(C)C3CCC21C)=O)=O,6.356547324,Active,344.49,0,4,1,4,2.469,71.44,0.230580396,-1117.985188,3.1177,-0.23194,-0.08505,0.14689,"A- or B-ring-substituted derivatives of androst-4-ene-3,6,17-trione as aromatase inhibitors. Structure-activity relationships",Steroids. 1994;59(10):579-89
